code,open,high,low,close,volume,거래대금,등락률,시가총액,foreign_net,inst_net,date
060310,1770,1799,1759,1781,238240,424247887,0.62,94498150240,108123597.0,0.0,20251103
054620,4075,4210,3910,3925,54598,217624020,-3.33,78084817425,-5268860.0,,20251103
265520,20000,20050,19610,19790,142637,2819310590,-0.55,297855747590,223857710.0,-304409420.0,20251103
211270,12700,12870,12400,12460,85568,1076739435,0.0,187925507840,152250300.0,-30761360.0,20251103
139050,0,0,0,2805,0,0,0.0,24247965555,,,20251103
126600,2860,2860,2785,2795,142901,402037117,-2.27,175433482705,-91557752.0,-267670.0,20251103
083790,1498,1510,1450,1494,309725,454911356,-0.2,114879907908,-8454256.0,,20251103
035760,72400,72500,68100,68100,99750,6910913950,-2.99,1493375387400,-1793831050.0,-1609552300.0,20251103
311690,9150,9150,9000,9030,22019,199034725,-1.42,117981121860,-55296530.0,0.0,20251103
051500,25200,25950,24500,25400,64823,1649352675,1.6,301538284400,-80300250.0,-34579325.0,20251103
058820,1805,1850,1790,1802,470665,853141867,-0.17,266411613766,-33359625.0,5978570.0,20251103
056730,662,662,652,652,11860,7762462,-1.51,48320493272,-423417.0,-2.0,20251103
065770,967,967,896,896,216913,197862416,-4.27,17392372480,-25587999.0,0.0,20251103
083660,789,840,752,752,1276686,1007881789,-4.33,46057880112,-238632890.0,,20251103
477760,2095,2105,2080,2095,6261,13066505,0.0,12234800000,-176620.0,-2335810.0,20251103
099520,0,0,0,1284,0,0,0.0,58141862016,,,20251103
060900,1398,1398,1326,1339,117903,158817832,-4.29,40050472826,-3123827.0,,20251103
290120,2285,2335,2205,2260,54281,122183965,-1.09,35762802740,-728545.0,,20251103
025440,827,827,808,815,120869,98627948,-1.45,39756697560,-12619710.0,,20251103
068790,0,0,0,6330,0,0,0.0,149939488590,,,20251103
241520,7470,8020,7360,7750,1984607,15556032240,5.16,209250000000,3149005210.0,-15590000.0,20251103
180400,1971,1990,1920,1921,162453,315312895,-2.54,94550528872,-61610971.0,,20251103
418620,2510,3255,2510,2940,4965472,15165122855,17.37,37780402380,-278142850.0,0.0,20251103
245620,0,0,0,415,0,0,0.0,57474989665,,,20251103
037370,6010,6030,5630,5670,124300,716701270,-5.66,48903591240,32534265.0,-11280.0,20251103
050120,2890,3040,2825,2995,78850,231806181,5.09,40624437570,35012445.0,,20251103
214270,2010,2060,1933,1936,188151,371574397,-3.68,84585696624,-15141594.0,-25703402.0,20251103
130500,2495,2495,2420,2420,38958,95188295,-2.22,35199025840,-28811280.0,25.0,20251103
900290,2780,2860,2740,2770,338247,939973015,-1.07,223954500000,-107039465.0,1840.0,20251103
083450,26100,27500,25700,27200,517420,13819639625,5.43,501296000000,754581450.0,59861550.0,20251103
297890,2540,2750,2540,2655,769978,2059090238,4.12,194189126670,132774107.0,-32400000.0,20251103
440290,2160,2175,2125,2140,147703,317039610,0.23,58009001400,-15448866.0,,20251103
078150,2010,2295,2005,2180,14270830,31384608527,9.71,202120696880,3994724654.0,,20251103
225530,2850,2850,2710,2745,55871,153669902,-2.83,99749805615,-18284335.0,2810.0,20251103
060560,700,704,670,676,168723,115856137,-3.43,86304598900,2583402.0,,20251103
195940,49800,50900,48600,50100,254542,12714783175,1.42,1419327539100,832609150.0,610438925.0,20251103
028300,49100,49250,46300,47150,729057,34537787975,-2.98,6198058834700,-1621228050.0,1699433825.0,20251103
278650,1235,1259,1206,1211,519740,634143091,-1.54,105363707729,-67544426.0,-10921.0,20251103
067630,4200,4210,4005,4005,508034,2061182697,-4.64,488277817290,-339252503.0,78960.0,20251103
024850,1865,1873,1773,1778,630407,1137471973,-4.61,256985207136,-304598185.0,,20251103
187420,3070,3105,2970,2995,100780,303560148,-2.44,87261966590,-14552170.0,29365.0,20251103
047920,15470,15470,14750,14750,137064,2049964095,-4.03,483790501000,-13880065.0,-64443920.0,20251103
115450,3335,3350,3170,3170,410411,1321689125,-4.95,267491773710,-323066042.0,49578393.0,20251103
046210,1750,1750,1596,1610,165068,268222448,-4.56,72654015980,-136037025.0,-8050.0,20251103
196300,6700,6700,6390,6470,19273,124679910,-3.43,60128285060,-20867850.0,-15173730.0,20251103
403870,34600,34850,33800,34850,1020372,35044574450,0.72,2909925094800,6869773800.0,-8450362600.0,20251103
036640,5180,5180,5060,5120,112931,577614305,-1.16,83736576000,-89548560.0,-154792910.0,20251103
442770,0,0,0,1862,0,0,0.0,7839020000,,,20251103
448760,4130,4190,3680,3680,905953,3540835558,-11.22,16302400000,455298.0,-71371255.0,20251103
467930,2220,2230,2220,2225,388,861580,0.23,9411750000,37850.0,0.0,20251103
469480,2200,2225,2180,2195,4869,10684061,-0.45,9284850000,-325400.0,4375614.0,20251103
095340,79100,81500,78400,80600,201227,16134124050,1.13,1708482874800,4843551950.0,-2865114250.0,20251103
950170,5830,5870,5480,5510,142415,793336250,-5.33,285122377480,-69796855.0,-103996500.0,20251103
067290,1391,1400,1353,1358,198686,271937764,-2.37,72484779108,-49377439.0,,20251103
035900,88200,88500,84200,85000,1680142,144049506100,5.07,3020261820000,4177908050.0,-15102237950.0,20251103
318000,5190,5290,5120,5200,59518,309174985,-0.38,45449159600,-26341430.0,,20251103
024840,1882,1989,1875,1933,1711161,3317071992,3.48,67479481667,369759047.0,,20251103
024120,3500,3530,3440,3455,39972,138771787,-1.29,39732500000,-30822725.0,-4640575.0,20251103
455250,2100,2100,2090,2100,6725,14090585,0.0,9040500000,0.0,169290.0,20251103
464680,2060,2065,2055,2065,90292,186012335,0.0,26648825000,-2050.0,-44559851.0,20251103
478390,2070,2090,2060,2060,24155,49847900,-0.72,12813200000,19510.0,-30027205.0,20251103
486630,2035,2050,2030,2040,12889,26263909,0.0,10832400000,26125.0,-11616289.0,20251103
492220,2005,2010,2000,2000,31665,63379330,-0.25,12420000000,3355.0,-5215575.0,20251103
0037T0,2000,2000,1996,1998,20818,41606682,-0.1,12647340000,27972.0,18801180.0,20251103
0072Z0,1983,1983,1979,1979,96854,191788358,-0.15,15604415000,-815256.0,-67047204.0,20251103
021320,4750,4785,4665,4720,26520,125060058,-1.26,101008000000,-16613730.0,-23368055.0,20251103
044180,755,779,623,630,8202500,5626358175,-16.56,16832213370,-209287152.0,,20251103
046440,4940,4975,4840,4845,118188,578341597,-1.92,184162335690,-83873075.0,237820.0,20251103
151860,5630,5700,5350,5410,394321,2173208020,-4.59,257532240820,-171228880.0,-140382915.0,20251103
035600,10290,10320,10060,10060,149932,1520277085,-2.04,277197606040,-315945015.0,-1431860.0,20251103
226360,0,0,0,2555,0,0,0.0,67617390260,,,20251103
111870,0,0,0,8910,0,0,0.0,62746456410,,,20251103
060720,12580,13440,12580,13110,523966,6912859770,4.46,310411264620,1755688125.0,13604665.0,20251103
058400,697,699,690,690,363785,251530963,-1.29,91376506800,,,20251103
101000,968,1020,945,950,1497146,1452523115,-1.86,31774461900,-32214826.0,,20251103
089600,13290,13290,13030,13100,26355,345598860,-1.43,151542935300,3177570.0,-103993780.0,20251103
418470,13070,13480,12820,12940,28831,378870980,-0.99,110815429660,40702260.0,-7108890.0,20251103
